Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
GBR RUGBY,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6401:Rugby,NVPNKWHT,10,1001273,H,WAE015,5052123489359,FLEXIBILITY,HKG,,SPRING SUMMER 2014,SS TRANS,600_9808,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:40:13
GBR RUGBY,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6401:Rugby,NVPNKWHT,16,1001303,H,WAE015,5052123489380,FLEXIBILITY,HKG,,SPRING SUMMER 2014,SS TRANS,600_9808,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:40:13
MYRTLE DRESS,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6604: Dress,DONOTUSE2,8,1001624,H,WAJ001,5052123572204,JC FASHION,CHN,,DO NOT USE PRODUCTS,SS TRANS,600_9878,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:53:56
MYRTLE DRESS,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6604: Dress,DONOTUSE2,14,1001655,H,WAJ001,5052123572167,JC FASHION,CHN,,DO NOT USE PRODUCTS,SS TRANS,600_9878,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:53:56
MYRTLE DRESS,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6604: Dress,DONOTUSE1,16,1001662,H,WAJ001,5052123572174,JC FASHION,CHN,,DO NOT USE PRODUCTS,SS TRANS,600_9878,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:53:56
CREW TROUSER,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5600: Trousers,NAVY,32S,1002348,H,MAG002,5052123491024,BEXX CLOTHING LTD,CHN,,AUTUMN WINTER 2014,RECODE,500_3131,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:39:44
CREW TROUSER,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5600: Trousers,NAVY,32R,1002386,H,MAG002,5052123491017,BEXX CLOTHING LTD,CHN,,AUTUMN WINTER 2014,RECODE,500_3131,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:39:50
CREW TROUSER,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5600: Trousers,NAVY,36R,1002409,H,MAG002,5052123491093,BEXX CLOTHING LTD,CHN,,AUTUMN WINTER 2014,RECODE,500_3131,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:39:51
CREW TROUSER,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5600: Trousers,NAVY,40R,1002423,H,MAG002,5052123491161,BEXX CLOTHING LTD,CHN,,AUTUMN WINTER 2014,RECODE,500_3131,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:39:49
CREW TROUSER,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5600: Trousers,NAVY,32L,1002447,H,MAG002,5052123491000,BEXX CLOTHING LTD,CHN,,AUTUMN WINTER 2014,RECODE,500_3131,,,,,,,Web Exclusive Test,11.39,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 13:39:44
