Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
CLASSIC 1/2 ZIP,MZC003_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in navy. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Navy Blue,500: Menswear,5302: Half Neck,NAVY,L,1125351,H,MZC003,5054409292264,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_019_033,500_4676_019_033_L,,,,,Web Exclusive Test,13.76,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:35:18
CLASSIC 1/2 ZIP,MZC003_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in navy. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Navy Blue,500: Menswear,5302: Half Neck,NAVY,M,1125352,H,MZC003,5054409292257,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_019_033,500_4676_019_033_M,,,,,Web Exclusive Test,18.76,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:34:28
CLASSIC 1/2 ZIP,MZC003_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in navy. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Navy Blue,500: Menswear,5302: Half Neck,NAVY,S,1125353,H,MZC003,5054409292240,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_019_033,500_4676_019_033_S,,,,,Web Exclusive Test,19.6,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:35:18
CLASSIC 1/2 ZIP,MZC003_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in navy. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Navy Blue,500: Menswear,5302: Half Neck,NAVY,XXL,1125356,H,MZC003,5054409292295,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_019_033,500_4676_019_033_XXL,,,,,Web Exclusive Test,12.53,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:35:18
CLASSIC 1/2 ZIP,MZC003_GRYMRL,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in grey. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Graphite Grey,500: Menswear,5302: Half Neck,GRYMRL,XXL,1125363,H,MZC003,5054409292332,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_055_033,500_4676_055_033_XXL,,,,,Web Exclusive Test,13.63,12/31/2022 00:00:00,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:34:28
CLASSIC 1/2 ZIP,MZC003_GRYMRL,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Classic Half Zip Jumper,Half Zip Neck,,Classic,,Cotton,,Plain,Long,,"95% Cotton 5% Cashmere ",,,"95% Cotton 5% Cashmere Delicate machine wash at 30 degrees Do not bleach Do not tumble dry Cool iron on reverse Do not dry clean Wash with similar colours Reshape whilst dampDry flat Do not pile once damp       MADE IN  Bangladesh 
",Delicate Machine Wash at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,A half zip in grey. This cosy layer features ribbed detailing and a zip to lock in warmth and is finished with our crossed oars embroidered on the chest. A classic you know and love.,,,,,,,Graphite Grey,500: Menswear,5302: Half Neck,GRYMRL,XXXL,1125364,H,MZC003,5054409292370,FULLCHARM KNITTERS LIMITED,BGD,6110209900,AUTUMN WINTER 2022,CARRYOVER,500_4676,500_4676_055_033,500_4676_055_033_XXXL,,,,,Web Exclusive Test,13.15,12/31/2022 00:00:00,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:34:28
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DARK NAVY,XL,1125574,H,MZD001,5054409294909,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2016,SS PHASE 1,500_4677,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:29:57
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DKNVYSTRP,M,1125846,H,MZD001,5054409319213,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2018,CONTINUITY,500_4677,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:29:57
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,WHTLIN,8,1144569,H,WHD001,5054409577057,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW17 PH 1A,600_17638,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:11
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,CHKGRYMRL,14,1144578,H,WHD001,5054409577149,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW PHASE 1,600_17638,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:15
