Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
PADSTOW PIQUE SWEAT,MZD001_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,Plain,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,Our bestselling Padstow. Washed so it feels like an old favourite from new. Just add the ocean.,,,,72.0,,,Navy Blue,500: Menswear,5400: Half Neck,NAVY,L,1125564,H,MZD001,5054409294824,High Hope Aglory Limited,CHN,6110209900,Continuity,CONTINUITY,500_4677,500_4677_019_033,500_4677_019_033_L,,,,,Web Exclusive Test,11.33,09/03/2023 23:00:00,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,False,,,11/09/2023 11:30:01
PADSTOW PIQUE SWEAT,MZD001_NAVY,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,Plain,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,Our bestselling Padstow. Washed so it feels like an old favourite from new. Just add the ocean.,,,,72.0,,,Navy Blue,500: Menswear,5400: Half Neck,NAVY,XL,1125567,H,MZD001,5054409294831,High Hope Aglory Limited,CHN,6110209900,Continuity,CONTINUITY,500_4677,500_4677_019_033,500_4677_019_033_XL,,,,,Web Exclusive Test,11.36,09/03/2023 23:00:00,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,False,,,11/09/2023 11:30:02
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DARK NAVY,XS,1125575,H,MZD001,5054409294923,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2016,SS PHASE 1,500_4677,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:30:00
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DKNVYSTRP,L,1125845,H,MZD001,5054409319206,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2018,CONTINUITY,500_4677,,,,,,,Web Exclusive Test,15.26,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:30:00
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DKNVYSTRP,XS,1125849,H,MZD001,5054409319244,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2018,CONTINUITY,500_4677,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:29:58
PADSTOW PIQUE SWEAT,,Mens,Clothing,Sweatshirts and Hoodies,Sweater,Padstow Pique Sweatshirt,Classic Collar,,Classic,,Cotton,,,Long,,100% cotton piqué,,,,Machine Washable at 30°C,Do not tumble dry,Cool iron on reverse,Range test,Flat,,,,,72.0,,,,500: Menswear,5400: Half Neck,DKNVYSTRP,XXL,1125850,H,MZD001,5054409319251,High Hope Aglory Limited,CHN,6110209900,SPRING SUMMER 2018,CONTINUITY,500_4677,,,,,,,Web Exclusive Test,15.99,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,Zip,,,,,,11/09/2023 11:30:00
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,WHTLIN,6,1144567,H,WHD001,5054409577033,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW17 PH 1A,600_17638,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:14
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,WHTLIN,10,1144568,H,WHD001,5054409577040,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW17 PH 1A,600_17638,,,,,,,Web Exclusive Test,12.77,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:15
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,WHTLIN,16,1144572,H,WHD001,5054409577088,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW17 PH 1A,600_17638,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:18
HERITAGE CABLE VNECK,,Womens,Clothing,Knitwear,Sweater,Heritage Cable V-Neck Jumper,V Neck,Casual,Fitted,,Cotton,,,Long,,"95% Cotton, 5% Cashmere",,,Machine Washable,Machine Washable,,,Range test,Flat,,,,,,,,,600: Womenswear,6200: Cable,CHKGRYMRL,10,1144575,H,WHD001,5054409577118,FULLCHARM KNITTERS LIMITED,CHN,6110209900,AUTUMN WINTER 2017,AW PHASE 1,600_17638,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 11:30:16
