Source,SupplierCode,BIS_Ref_ID,ItemOptionNumber,ProductStyle,OptionDescription,ItemDescription,SubGroup,SubgroupDescription,EAN,PolledDate,TransDate,CountryCode,OriginalSellingPrice,SaleUnits,SaleValue,ReturnUnits,ReturnValue,FullPriceInd,SalesSourceDescription,ModelType,VATRate,VAT,VATExclusive,CommissionRate,Commission,BrandName,OrderReferenceNumber
RET,A95230,208917806003,D8755520,BBK004_PRKPRBLU,7-8 Yrs,CR BLU CREW CLOTHING,4F07,BOYS PP+,5054409360772,2023-10-12,2023-10-12,GB,28.00,0,0.00,-1,-14.00,MD,427 BECKTON,Concession,0.00,0.00,-14.00,37.00,-5.18,Crew Clothing Company,
ONL,A95230,291999061,N4192316,WSJ151_NAVY,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595842453,2023-10-12,2023-09-23,DE,85.00,0,0.00,-1,-57.02,FP,Online,Concession,19.00,-9.10,-47.92,37.00,-17.73,Crew Clothing Company,6RP2J9TX
ONL,A95230,291998935,N4030715,WSA066_NAVY,12,CR BLU CREW CLOTHING,4F06,WOMENS PP+,5059595852544,2023-10-12,2023-10-04,GB,129.00,0,0.00,-1,-129.00,FP,Online,Concession,20.00,-21.50,-107.50,37.00,-39.78,Crew Clothing Company,6RS31M5T
ONL,A95230,291901865,N4191016,WSJ173_CRNFLOWER,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595834106,2023-10-12,2023-08-08,GB,79.00,0,0.00,-1,-79.00,FP,Online,Concession,20.00,-13.17,-65.83,37.00,-24.36,Crew Clothing Company,6R89MW3V
ONL,A25671,1005442888,20766207,MKE002 SKY,XX-Large,C BLUE POLO,4F01,MENS CLOTHING,5054409930739,2023-10-12,2023-10-11,GB,37.00,1,37.00,0,0.00,FP,Online,Non-stocked,20.00,6.17,30.83,37.00,11.41,Crew Clothing Company,6RVA4ALR
ONL,A95230,291977202,D5378118,WSE013_HEATHER,18,CR PUR CREW CLOTHING,4F06,WOMENS PP+,5059595744450,2023-10-12,2023-09-20,GB,11.00,0,0.00,-1,-11.00,MD,Online,Concession,20.00,-1.83,-9.17,37.00,-3.39,Crew Clothing Company,6RN066Y4
ONL,A95230,1005629249,11971615,WTJ082_RED,12,CR RED CREW CLOTHING,4F02,WOMENS CLOTHING,5059595927778,2023-10-12,2023-10-12,GB,65.00,1,32.00,0,0.00,MD,Online,Concession,20.00,5.33,26.67,37.00,9.87,Crew Clothing Company,6RVM8QAR
ONL,A95230,292010717,U0982915,WOH007DARKIND,12,CREW CLOTHING GIRLFR,4F02,WOMENS CLOTHING,5059595134350,2023-10-12,2023-09-19,GB,65.00,0,0.00,-1,-32.00,MD,Online,Concession,20.00,-5.33,-26.67,37.00,-9.87,Crew Clothing Company,6RMM8QKW
ONL,A95230,291871029,57146306,MSB068_BLUES,X-Large,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595851929,2023-10-12,2023-09-19,GB,69.00,0,0.00,-1,-34.00,MD,Online,Concession,20.00,-5.67,-28.33,37.00,-10.48,Crew Clothing Company,6RMM86D0
ONL,A95230,1005786135,17982814,WSE067_WHTNVY,10,CR WHI CREW CLOTHING,4F02,WOMENS CLOTHING,5059595860945,2023-10-12,2023-10-12,GB,45.00,1,20.00,0,0.00,MD,Online,Concession,20.00,3.33,16.67,37.00,6.17,Crew Clothing Company,6RVAA211
ONL,A95230,291816294,D6771515,WSJ081_NAVYSPOT,12,CR BLU CREW CLOTHING,4F06,WOMENS PP+,5059595761105,2023-10-12,2023-10-08,GB,42.00,0,0.00,-1,-42.00,MD,Online,Concession,20.00,-7.00,-35.00,37.00,-12.95,Crew Clothing Company,6RTJ038L
ONL,A95230,291999059,N4191403,MSB061_GREENS,Small,CR GRN CREW CLOTHING,4F01,MENS CLOTHING,5059595903376,2023-10-12,2023-09-28,GB,69.00,0,0.00,-1,-34.00,MD,Online,Concession,20.00,-5.67,-28.33,37.00,-10.48,Crew Clothing Company,6RQKK46N
ONL,A95230,292012612,U5439341,BEE014_SLDSTRP,4-5 Yrs,CR BLU CREW CLOTHING,4F03,BOYS CLOTHING,5059595499572,2023-10-12,2023-09-20,GB,24.00,0,0.00,-1,-12.00,MD,Online,Concession,0.00,0.00,-12.00,37.00,-4.44,Crew Clothing Company,6RN0KDQR
ONL,A95230,292017327,15198216,WSC047_NAVY,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595841616,2023-10-12,2023-10-08,GB,39.00,0,0.00,-1,-19.50,MD,Online,Concession,20.00,-3.25,-16.25,37.00,-6.01,Crew Clothing Company,6RTJJ8YM
ONL,A95230,1004605640,N1639816,WTD300_OATMEAL,14,CR NAT CREW CLOTHING,4F02,WOMENS CLOTHING,5059595951186,2023-10-12,2023-10-11,IE,45.00,1,50.87,0,0.00,FP,Online,Concession,23.00,9.51,41.36,37.00,15.30,Crew Clothing Company,6RV9JXGN
ONL,A25671,1005328770,T8048704,MMB055_CLASSPINK,Large,CR PNK CREW CLOTHING,4F01,MENS CLOTHING,5054409491179,2023-10-12,2023-10-11,GB,59.00,1,59.00,0,0.00,FP,Online,Non-stocked,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RV9ZP8V
ONL,A95230,1004706488,96882603,MKE001_OPTICWHITE,Medium,CR WHI CREW CLOTHING,4F01,MENS CLOTHING,5054409932818,2023-10-12,2023-10-11,GB,22.00,1,22.00,0,0.00,FP,Online,Concession,20.00,3.67,18.33,37.00,6.78,Crew Clothing Company,6RVA0VNB
ONL,A95230,291897090,74399507,MSB022_PERIWINKLE,2X-Large,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595902195,2023-10-12,2023-09-19,GB,59.00,0,0.00,-1,-29.00,MD,Online,Concession,20.00,-4.83,-24.17,37.00,-8.94,Crew Clothing Company,6RMM5L18
ONL,A95230,1005370167,39632505,MSB029_BLUPINK,Large,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595813484,2023-10-12,2023-10-12,GB,59.00,1,59.00,0,0.00,FP,Online,Concession,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RVLW6B6
ONL,A95230,291815302,74123917,WTJ017_NVYABSTRCT,16,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5063013004200,2023-10-12,2023-09-23,GB,65.00,0,0.00,-1,-32.00,MD,Online,Concession,20.00,-5.33,-26.67,37.00,-9.87,Crew Clothing Company,6RP1B7YG
ONL,A95230,1005640676,52673024,MSF011_NEUTRAL,34 R,CR NAT CREW CLOTHING,4F01,MENS CLOTHING,5059595947059,2023-10-12,2023-10-10,GB,60.00,1,27.00,0,0.00,MD,Online,Concession,20.00,4.50,22.50,37.00,8.33,Crew Clothing Company,6RTYTZLH
ONL,A95230,292007726,T5106114,WSG005_NAVY,10,CR BLU CREW CLOTHING,4F06,WOMENS PP+,5059595894186,2023-10-12,2023-09-20,GB,59.00,0,0.00,-1,-29.00,MD,Online,Concession,20.00,-4.83,-24.17,37.00,-8.94,Crew Clothing Company,6RN06N3S
ONL,A95230,1005323481,99706017,WSJ097_NAVY,16,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595759270,2023-10-12,2023-10-11,GB,79.00,1,47.00,0,0.00,MD,Online,Concession,20.00,7.83,39.17,37.00,14.49,Crew Clothing Company,6RTYYZSC
ONL,A95230,1005771301,55810817,WSJ124_WHTMUL,16,CR WHI CREW CLOTHING,4F02,WOMENS CLOTHING,5059595925651,2023-10-12,2023-10-11,GB,44.00,1,44.00,0,0.00,MD,Online,Concession,20.00,7.33,36.67,37.00,13.57,Crew Clothing Company,6RVA3YFQ
ONL,A95230,292027183,58030526,MSA023_DARK NAVY,42 R,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595795049,2023-10-12,2023-10-05,GB,189.00,0,0.00,-1,-189.00,FP,Online,Concession,20.00,-31.50,-157.50,37.00,-58.28,Crew Clothing Company,6RSGAHZ5
ONL,A95230,1005442149,N4192516,WSA045_PINK,14,CR PNK CREW CLOTHING,4F02,WOMENS CLOTHING,5059595806394,2023-10-12,2023-10-12,GB,129.00,1,60.00,0,0.00,MD,Online,Concession,20.00,10.00,50.00,37.00,18.50,Crew Clothing Company,6RVNFWDT
ONL,A95230,291999454,N5672113,WTE027_LTTEAL,8,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5063013020132,2023-10-12,2023-10-08,GB,25.00,0,0.00,-1,-25.00,FP,Online,Concession,20.00,-4.17,-20.83,37.00,-7.71,Crew Clothing Company,6RTJNYL8
ONL,A95230,1005830479,D2801908,MRO002_CHOC,S/M,CR BRO CREW CLOTHING,4F01,MENS CLOTHING,5059595581413,2023-10-12,2023-10-12,UA,35.00,1,30.10,0,0.00,FP,Online,Concession,0.00,0.00,30.10,37.00,11.14,Crew Clothing Company,6RVMA1AR
ONL,A95230,291998940,N4039515,WSK001_KHAKI,12,CR GRN CREW CLOTHING,4F06,WOMENS PP+,5059595931249,2023-10-12,2023-09-28,GB,39.00,0,0.00,-1,-19.50,MD,Online,Concession,20.00,-3.25,-16.25,37.00,-6.01,Crew Clothing Company,6RQKHZFG
ONL,A95230,1005360972,A9356589,WZH003_DKINDIGO,10 S,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5054409622993,2023-10-12,2023-10-12,GB,65.00,1,24.00,0,0.00,MD,Online,Concession,20.00,4.00,20.00,37.00,7.40,Crew Clothing Company,6RVMT9J3
ONL,A95230,1005644856,D2198612,WSD219_CREAM,6,CR CRM CREW CLOTHING,4F06,WOMENS PP+,5059595756002,2023-10-12,2023-10-12,GB,45.00,1,22.00,0,0.00,MD,Online,Concession,20.00,3.67,18.33,37.00,6.78,Crew Clothing Company,6RVMC1GQ
ONL,A95230,1005245298,U3467123,MQG005_DRKNAVY,36 R,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595456261,2023-10-12,2023-10-11,GB,65.00,1,65.00,0,0.00,FP,Online,Concession,20.00,10.83,54.17,37.00,20.04,Crew Clothing Company,6RV9RF2G
ONL,A95230,1005299076,D3781122,WTG001_NAVY,10 R,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5063013064686,2023-10-12,2023-10-12,GB,59.00,1,59.00,0,0.00,FP,Online,Concession,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RVMPZ8Y
ONL,A25671,1005345504,84891414,WTJ084_DKTEAL,10,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595973775,2023-10-12,2023-10-11,GB,79.00,1,79.00,0,0.00,FP,Online,Non-stocked,20.00,13.17,65.83,37.00,24.36,Crew Clothing Company,6RV94WYD
ONL,A95230,1005370171,N4191405,MSB061_GREENS,Large,CR GRN CREW CLOTHING,4F01,MENS CLOTHING,5059595903352,2023-10-12,2023-10-12,GB,69.00,1,34.00,0,0.00,MD,Online,Concession,20.00,5.67,28.33,37.00,10.48,Crew Clothing Company,6RVLW6B6
ONL,A95230,1005310159,T8048703,MMB055_CLASSPINK,Medium,CR PNK CREW CLOTHING,4F01,MENS CLOTHING,5054409491186,2023-10-12,2023-10-12,GB,59.00,1,59.00,0,0.00,FP,Online,Concession,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RVM81VY
