Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Payment Method Variant,Modification Merchant Reference,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Merchant Order Reference,Store
CrewClothing,CrewClothingWebsite,P63QFZW5HFJ5Q4C2,16934729-230811205838-41069,mc_applepay,2023-08-13 15:22:35,BST,Chargeback,X872C97C39PDPK52,GBP,51.80,,1,GBP,70.10,,,5.45,12.85,,mc_applepay,8144343X7688480,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,M365XP9SF3VMPPG2,16848020-230829150943-663,visa,2023-09-11 07:11:07,BST,Refunded,S5MJMV2FXJGTK2C2,GBP,33.00,,1,GBP,33.00,,,,,,visapremiumcredit,8259413X7789843,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,NT2XCXNV2TP4J4C2,16815755-230827213256-25062,mc,2023-09-11 07:11:07,BST,Refunded,JRFZMV2FXJGTK2C2,GBP,41.25,,1,GBP,41.25,,,,,,mcpremiumcredit,8259412X7789842,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,CWMSDT7FRCVPV832,16989139-230827211616-85899,visa,2023-09-11 07:11:07,BST,Refunded,JR5DTN75JFJ5Q4C2,GBP,44.25,,1,GBP,44.25,,,,,,visastandarddebit,8259411X7789841,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,MHPSBV7HVMNNWPG2,17034018-230826152109-18481,mc,2023-09-11 07:11:08,BST,Refunded,JTX2PS8WW3LJ7XB2,GBP,33.75,,1,GBP,33.75,,,,,,mcpremiumcredit,8259409X7789838,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,WLDQHQ9NRSQ29C32,16992657-230820092143-94047,mc,2023-09-11 07:11:21,BST,Refunded,B9FFWN75JFJ5Q4C2,GBP,36.90,,1,GBP,36.90,,,,,,mcpremiumcredit,8259407X7789835,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,WLDQHQ9NRSQ29C32,16992657-230820092143-94047,mc,2023-09-11 07:11:21,BST,Refunded,D2Z6QS8WW3LJ7XB2,GBP,30.60,,1,GBP,30.60,,,,,,mcpremiumcredit,8259407X7789834,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,JT4J89X2N3MGX632,16956698-230814193553-33557,visa_applepay,2023-09-11 07:16:03,BST,Refunded,XSQSL3RBX2PH2C52,GBP,27.00,,1,GBP,27.00,,,,,,visa_applepay,8259425X7789856,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,JT4J89X2N3MGX632,16956698-230814193553-33557,visa_applepay,2023-09-11 07:16:04,BST,Refunded,P7J7GCD4FMHJ8C52,GBP,21.00,,1,GBP,21.00,,,,,,visa_applepay,8259425X7789855,564,,,,,,,,,
CrewClothing,CrewClothingWebsite,JW2BWQWSB7J83VB2,16073448-230730174540-24989,mc,2023-09-11 07:16:04,BST,Refunded,FBTX6G9HMNVCHK52,GBP,55.26,,1,GBP,55.26,,,,,,mcpremiumcredit,8259424X7789854,564,,,,,,,,,
