Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Payment Method Variant,Modification Merchant Reference,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Merchant Order Reference,Store
CrewClothing,CrewClothingPOS,VQV23TPJJK5SGHG2,223A0134778,visa,2023-09-11 09:24:07,BST,Settled,QLBFQX4MDT3TLKH2,GBP,,18.00,1,GBP,,17.91,,0.03,0.01,0.05,visapremiumcredit,<auto>,576,,,,,,,,,223
CrewClothing,CrewClothingPOS,C5B5QG2T2MB3CH52,187A0126887,mc,2023-09-11 09:30:01,BST,Refunded,X7CHQMCRFC8X3SG2,GBP,39.00,,1,GBP,39.00,,,,,,mcpremiumcredit,187A0126887,576,,,,,,,,,187
CrewClothing,CrewClothingPOS,QLF5LT2PXNFNTM52,136A0119907,visa,2023-09-11 09:30:27,BST,Refunded,W2W4K3TGFR7CC462,GBP,55.00,,1,GBP,55.00,,,,,,visastandarddebit,136A0119907,576,,,,,,,,,136
CrewClothing,CrewClothingPOS,QQ2DKB8NB3GZ2C32,187A0126888,mc,2023-09-11 09:31:03,BST,Refunded,DTQZVRV8H8TJGHH2,GBP,39.00,,1,GBP,39.00,,,,,,mcpremiumcredit,187A0126888,576,,,,,,,,,187
CrewClothing,CrewClothingPOS,XL57C9CWW3LJ7XB2,2023-09-11 09:30:49,mc,2023-09-11 09:31:59,BST,Settled,DJL5CT5XXH7NT6G2,GBP,,30.00,1,GBP,,29.84,,0.05,0.02,0.09,mcsuperpremiumcredit,<auto>,576,,,,,,,,,236
CrewClothing,CrewClothingPOS,JB62GMCQJ7C97F32,114A0116242,visa,2023-09-11 09:33:28,BST,Settled,X8FFGBKTFWVFZP72,GBP,,31.50,1,GBP,,31.38,,0.05,0.01,0.06,visastandarddebit,<auto>,576,,,,,,,,,114
CrewClothing,CrewClothingPOS,QS75VT9BNRLZ2C32,2023-09-11 09:32:39,visa,2023-09-11 09:33:37,BST,Settled,PWQBPZVXG6RTJ482,GBP,,25.00,1,GBP,,24.90,,0.04,0.01,0.05,visapremiumdebit,<auto>,576,,,,,,,,,199
CrewClothing,CrewClothingPOS,ZJB2B58VRCVPV832,177A0117468,mc,2023-09-11 09:36:53,BST,Settled,V26VPW5XXH7NT6G2,GBP,,55.20,1,GBP,,54.98,,0.09,0.02,0.11,mcsuperpremiumdebit,<auto>,576,,,,,,,,,177
CrewClothing,CrewClothingPOS,VP44XRLFF9CTF232,2023-09-11 09:38:19,visa,2023-09-11 09:39:19,BST,Settled,BZS7H4WXG6RTJ482,GBP,,99.00,1,GBP,,98.62,,0.16,0.02,0.20,visastandarddebit,<auto>,576,,,,,,,,,148
CrewClothing,CrewClothingPOS,D62P523PXNFNTM52,2023-09-11 09:38:42,mc,2023-09-11 09:39:45,BST,Settled,G863D85MDT3TLKH2,GBP,,44.00,1,GBP,,43.78,,0.07,0.02,0.13,mcpremiumcredit,<auto>,576,,,,,,,,,133
CrewClothing,CrewClothingPOS,X9KJJT8J2QSH8C52,2023-09-11 09:39:04,visa,2023-09-11 09:40:03,BST,Settled,RJLDNFKTFWVFZP72,GBP,,34.20,1,GBP,,34.07,,0.05,0.01,0.07,visastandarddebit,<auto>,576,,,,,,,,,631
CrewClothing,CrewClothingPOS,SR6CPZNC3TP4J4C2,162A0128820,mc,2023-09-11 09:40:17,BST,Settled,XRCCDZ5XXH7NT6G2,GBP,,112.40,1,GBP,,111.84,,0.18,0.04,0.34,mcsuperpremiumcredit,<auto>,576,,,,,,,,,162
CrewClothing,CrewClothingPOS,S695DQXNDNDKFXB2,190A0125557,mc,2023-09-11 09:42:40,BST,Settled,FWN5K26XXH7NT6G2,GBP,,22.00,1,GBP,,21.91,,0.04,0.01,0.04,mcstandarddebit,<auto>,576,,,,,,,,,190
CrewClothing,CrewClothingPOS,XC6TTVCSP66J8C52,178A0118950,visa,2023-09-11 09:42:43,BST,Settled,WKXQJ9TGFR7CC462,GBP,,84.00,1,GBP,,83.59,,0.13,0.03,0.25,visapremiumcredit,<auto>,576,,,,,,,,,178
CrewClothing,CrewClothingPOS,CM6HSX3P7GQH7XB2,2023-09-11 09:42:34,visa,2023-09-11 09:43:41,BST,Settled,JHCVCJCWV3RRDKH2,GBP,,56.00,1,GBP,,55.78,,0.09,0.02,0.11,visastandarddebit,<auto>,576,,,,,,,,,149
CrewClothing,CrewClothingPOS,WS85484HDCH3CH52,612A0109899,visa,2023-09-11 09:44:14,BST,Settled,BJ27V6WXG6RTJ482,GBP,,39.10,1,GBP,,38.95,,0.06,0.01,0.08,visastandarddebit,<auto>,576,,,,,,,,,612
CrewClothing,CrewClothingPOS,WMTL2RTDP73KFXB2,232A0119218,visa,2023-09-11 09:44:15,BST,Settled,JQJMV6WXG6RTJ482,GBP,,79.00,1,GBP,,78.69,,0.13,0.02,0.16,visastandarddebit,<auto>,576,,,,,,,,,232
CrewClothing,CrewClothingPOS,FS8C2574DPSBFF32,2023-09-11 09:43:04,mc,2023-09-11 09:44:15,BST,Refunded,FZGRB36XXH7NT6G2,GBP,5.60,,1,GBP,5.60,,,,,,mcsuperpremiumcredit,2023-09-11 09:43:04,576,,,,,,,,,213
CrewClothing,CrewClothingPOS,X4C24BRNPC2DPK52,166A0133074,visa,2023-09-11 09:44:18,BST,Settled,PHD8QHKTFWVFZP72,GBP,,38.00,1,GBP,,37.81,,0.06,0.02,0.11,visastandardcredit,<auto>,576,,,,,,,,,166
CrewClothing,CrewClothingPOS,KP6MZBQ7G3VMPPG2,109A0114555,mc,2023-09-11 09:45:34,BST,Settled,X7WJX36XXH7NT6G2,GBP,,13.50,1,GBP,,13.43,,0.02,0.01,0.04,mcstandardcredit,<auto>,576,,,,,,,,,109
CrewClothing,CrewClothingPOS,CHCD5VKBW42B7F32,617A0119120,mc,2023-09-11 09:46:14,BST,Settled,JMLXGSJ6JWDMM6G2,GBP,,306.90,1,GBP,,305.38,,0.49,0.11,0.92,mcsuperpremiumcredit,<auto>,576,,,,,,,,,617
CrewClothing,CrewClothingPOS,VTZLH64SN8HBFF32,2023-09-11 09:46:11,mc,2023-09-11 09:47:16,BST,Settled,G2KPQCTGFR7CC462,GBP,,26.10,1,GBP,,25.97,,0.04,0.01,0.08,mcpremiumcredit,<auto>,576,,,,,,,,,127
CrewClothing,CrewClothingPOS,XGV4TZ73RFNR8HG2,121A0118152,mc,2023-09-11 09:48:26,BST,Settled,BJH2KTJ6JWDMM6G2,GBP,,70.00,1,GBP,,69.65,,0.11,0.03,0.21,mcpremiumcredit,<auto>,576,,,,,,,,,121
CrewClothing,CrewClothingPOS,GZMN937ZVV3J7XB2,181A0114105,mc,2023-09-11 09:48:39,BST,Settled,JSL5TXCRFC8X3SG2,GBP,,57.00,1,GBP,,56.71,,0.09,0.03,0.17,mcpremiumcredit,<auto>,576,,,,,,,,,181
CrewClothing,CrewClothingPOS,JWQ6F4SXSRB99VB2,176A0112357,mc,2023-09-11 09:51:20,BST,Settled,Z33LR66XXH7NT6G2,GBP,,40.00,1,GBP,,39.84,,0.06,0.02,0.08,mcstandarddebit,<auto>,576,,,,,,,,,176
CrewClothing,CrewClothingPOS,S4TT97L3DDD4J4C2,190A0125558,visa,2023-09-11 09:51:39,BST,Refunded,G2CRHBWXG6RTJ482,GBP,48.75,,1,GBP,48.75,,,,,,visastandarddebit,190A0125558,576,,,,,,,,,190
CrewClothing,CrewClothingPOS,XC3K5FSQCHVJFXB2,105A0114080,visa,2023-09-11 09:52:47,BST,Settled,WW72J6W8H8TJGHH2,GBP,,6.61,1,GBP,,6.58,,0.01,0.01,0.01,visastandarddebit,<auto>,576,,,,,,,,,105
CrewClothing,CrewClothingPOS,Q7T68H2DSSQ29C32,2023-09-11 09:51:47,mc,2023-09-11 09:53:05,BST,Settled,H9QHM76XXH7NT6G2,GBP,,50.00,1,GBP,,49.80,,0.08,0.02,0.10,mcstandarddebit,<auto>,576,,,,,,,,,167
CrewClothing,CrewClothingPOS,N46FPQZ2MX8NTM52,136A0119908,mc,2023-09-11 09:53:57,BST,Settled,Q7KKF3DRFC8X3SG2,GBP,,73.00,1,GBP,,72.63,,0.12,0.03,0.22,mcstandardcredit,<auto>,576,,,,,,,,,136
CrewClothing,CrewClothingPOS,WW49CLB6DGZH8C52,172A0114627,mc,2023-09-11 09:54:05,BST,Settled,TSNTBW9H2N2J8HH2,GBP,,31.50,1,GBP,,31.37,,0.05,0.02,0.06,mcstandarddebit,<auto>,576,,,,,,,,,172
CrewClothing,CrewClothingPOS,SBKCSMJQ46H89VB2,2023-09-11 09:53:12,mc,2023-09-11 09:54:46,BST,Settled,LSNCWTQ2GZ8TJ482,GBP,,59.00,1,GBP,,58.76,,0.09,0.03,0.12,mcstandarddebit,<auto>,576,,,,,,,,,167
